measurementID,measurementType,measurementValue,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementMethod,measurementRemarks,eventID
NSD01S-20220511-S01,pH KCl,5.96,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S02,pH,6.5,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S03,Conductivity,84,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S04,Sulphate,10,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S05,Bicarbonate,47,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S06,Total N,0.21,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S07,Assimilable K,244.2,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S08,Assimilable P,8.48,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S09,Soil Organic Matter,7.8,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S10,Ratio C:N,21.54,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S11,Sand,55,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S12,Slime,15,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S13,Clay,30,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD01S-20220511-S14,Field capacity,34.34,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD01S-20220511
NSD02S-20220511-S01,pH KCl,6.32,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S02,pH,6.7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S03,Conductivity,74,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S05,Bicarbonate,41,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S06,Total N,0.14,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S07,Assimilable K,241.6,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S08,Assimilable P,6.08,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S09,Soil Organic Matter,1.98,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S10,Ratio C:N,8.2,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S11,Sand,54.5,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S12,Slime,20.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S13,Clay,24.8,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD02S-20220511-S14,Field capacity,22.65,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD02S-20220511
NSD03S-20220511-S01,pH KCl,6.12,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S02,pH,7.1,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S03,Conductivity,98,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S05,Bicarbonate,54,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S06,Total N,0.15,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S07,Assimilable K,250.2,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S08,Assimilable P,7.02,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S09,Soil Organic Matter,2.98,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S10,Ratio C:N,11.52,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S11,Sand,55.6,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S12,Slime,17.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S13,Clay,26.7,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD03S-20220511-S14,Field capacity,24.68,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD03S-20220511
NSD04S-20220511-S01,pH KCl,6.44,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S02,pH,7.1,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S03,Conductivity,71,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S04,Sulphate,0,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S05,Bicarbonate,42,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S06,Total N,0.11,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S07,Assimilable K,235.4,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S08,Assimilable P,8.98,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S09,Soil Organic Matter,1.72,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S10,Ratio C:N,9.07,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S11,Sand,58.1,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S12,Slime,14,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S13,Clay,27.9,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD04S-20220511-S14,Field capacity,19.85,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD04S-20220511
NSD05S-20220511-S01,pH KCl,6.44,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S02,pH,7.2,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S03,Conductivity,145,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S04,Sulphate,2.7,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S05,Bicarbonate,81,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S06,Total N,0.14,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S07,Assimilable K,287,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S08,Assimilable P,7.16,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S09,Soil Organic Matter,2.91,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S10,Ratio C:N,12.06,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S11,Sand,60.2,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S12,Slime,13.3,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S13,Clay,26.5,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD05S-20220511-S14,Field capacity,26.05,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD05S-20220511
NSD06S-20220511-S01,pH KCl,5.7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S02,pH,6.7,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S03,Conductivity,310,microS/cm,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S04,Sulphate,11,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S05,Bicarbonate,168,mg/L,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S06,Total N,0.24,%,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S07,Assimilable K,276,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S08,Assimilable P,9.1,mg/kg,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S09,Soil Organic Matter,5.62,???,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
NSD06S-20220511-S10,Ratio C:N,13.58,NA,2022-05-11,"Laboratorio Analítico Bioclínico (https://www.lab-sl.com/en/) Almería, Spain",,,NSD06S-20220511
